game,timestamp,winner,loser,winner_delta,loser_delta,Brooks,Alex,Laurent,Jason,Andrew,Kevin
1,2026-03-15T14:32:05Z,Brooks,Andrew,+16.0,-16.0,1016.0,1000.0,1000.0,1000.0,984.0,1000.0
2,2026-03-15T14:33:05Z,Alex,Jason,+16.0,-16.0,1016.0,1016.0,1000.0,984.0,984.0,1000.0
3,2026-03-15T14:34:05Z,Andrew,Kevin,+16.74,-16.74,1016.0,1016.0,1000.0,984.0,1000.74,983.26
4,2026-03-15T14:35:05Z,Andrew,Kevin,+15.2,-15.2,1016.0,1016.0,1000.0,984.0,1015.94,968.06
5,2026-03-15T14:36:05Z,Andrew,Kevin,+13.81,-13.81,1016.0,1016.0,1000.0,984.0,1029.75,954.25
6,2026-03-15T14:37:05Z,Brooks,Kevin,+13.19,-13.19,1029.19,1016.0,1000.0,984.0,1029.75,941.06
7,2026-03-15T14:38:05Z,Brooks,Kevin,+12.03,-12.03,1041.22,1016.0,1000.0,984.0,1029.75,929.03
8,2026-03-15T14:39:05Z,Alex,Andrew,+16.63,-16.63,1041.22,1032.63,1000.0,984.0,1013.12,929.03
9,2026-03-17T02:54:02Z,Kevin,Andrew,+19.8,-19.8,1041.22,1032.63,1000.0,984.0,993.32,948.83
10,2026-03-17T03:01:57Z,Kevin,Andrew,+18.04,-18.04,1041.22,1032.63,1000.0,984.0,975.28,966.87
11,2026-03-17T03:08:55Z,Kevin,Andrew,+16.39,-16.39,1041.22,1032.63,1000.0,984.0,958.89,983.26
12,2026-03-17T03:17:57Z,Andrew,Kevin,+17.12,-17.12,1041.22,1032.63,1000.0,984.0,976.01,966.14
13,2026-03-17T06:52:25Z,Brooks,Andrew,+13.03,-13.03,1054.25,1032.63,1000.0,984.0,962.98,966.14
14,2026-03-17T06:58:02Z,Brooks,Andrew,+11.89,-11.89,1066.14,1032.63,1000.0,984.0,951.09,966.14
15,2026-03-17T07:04:08Z,Brooks,Andrew,+10.89,-10.89,1077.03,1032.63,1000.0,984.0,940.2,966.14
16,2026-03-17T07:10:39Z,Brooks,Andrew,+10.01,-10.01,1087.04,1032.63,1000.0,984.0,930.19,966.14
17,2026-03-17T07:16:00Z,Andrew,Brooks,+22.77,-22.77,1064.27,1032.63,1000.0,984.0,952.96,966.14
18,2026-03-17T07:21:22Z,Andrew,Brooks,+20.96,-20.96,1043.31,1032.63,1000.0,984.0,973.92,966.14
